"","mean","MCSE","q10","q50","q90","ESS","Rhat"
"loglike[1,166]",2.34686444391219,0.0600573006654245,2.21744869841248,2.35095738955942,2.45490285716068,12306.8562271592,1.0002017714036
"loglike[1,167]",2.5030003331416,0.0657968060514529,2.36172876373116,2.50788901505948,2.61959008126989,12008.1656900103,1.00059519127711
"loglike[1,168]",2.41871540628395,0.0570551231648058,2.29632300875614,2.42227863505977,2.51984349389755,14381.2792388235,1.00065980835709
"loglike[1,169]",2.34627689172235,0.0600353185370547,2.21697357817951,2.35038714126487,2.45437505726715,12312.9902927385,1.00020066273881
"loglike[1,170]",2.29942137358807,0.0584691597883557,2.17419890429702,2.30320936736661,2.4042612655576,12899.2702598744,1.00011588343773
"loglike[1,171]",2.50225755314297,0.0660359839422444,2.36031810530595,2.50749965672141,2.61951017508577,11918.9890659393,1.00057957846924
"loglike[1,172]",2.48809431750711,0.0660404522359593,2.34649654787705,2.49324432662046,2.60470380531423,11701.0753712202,1.00051240851559
"loglike[1,173]",2.42166556903222,0.0632129730241316,2.28496239292554,2.42628327627146,2.53448475628749,11752.3725596196,1.00035078603431
"loglike[1,174]",1.99707563529566,0.0599587353735771,1.87407967952126,1.99863601152294,2.10864383856249,20588.977454916,0.999916756562905
"loglike[1,175]",2.50262317838033,0.0655352076323266,2.361462782484,2.50744769648058,2.61891402896595,12088.3299653631,1.00060665719517
"loglike[1,176]",2.34402697151968,0.0526431892901842,2.23189563025925,2.34684260642314,2.43844022696219,16812.6103859197,1.00057524157076
"loglike[1,177]",2.48239117513669,0.0658588013542326,2.34089288433929,2.48740590905934,2.59848647910225,11674.2466174817,1.00049474605856
"loglike[1,178]",2.49124170678316,0.06612182525365,2.34943039710089,2.49648092002997,2.60822936447993,11722.5295791775,1.00052314433737
"loglike[1,179]",2.44884102635865,0.064454374808894,2.30968584801512,2.45344947420284,2.56350083243384,11663.6505871169,1.00041013037398
"loglike[1,180]",2.48097130462322,0.062512268956625,2.3465540935056,2.48528398104146,2.59227153340565,12821.0290071614,1.00065953702758
"loglike[1,181]",2.41801469098612,0.0570039060532128,2.29577894035214,2.42153061088885,2.51906382268461,14400.6675898646,1.00065938582784
"loglike[1,182]",2.48657518131886,0.0659956851260124,2.34515104167549,2.49159043037567,2.6029770907982,11692.6240105091,1.00050751253787
"loglike[1,183]",2.49744761573066,0.0645274240981784,2.35917803396387,2.50200962749599,2.61204603665705,12350.4462632682,1.00063346668371
"loglike[1,184]",2.37190359998552,0.0610411949729359,2.24092893892596,2.3761046647343,2.48123598647254,12071.8318321784,1.00024991006772
"loglike[1,185]",2.49605561114391,0.0643254632842936,2.35826614490974,2.50064794285388,2.61025576904999,12399.7461903796,1.00063721476826
"loglike[1,186]",2.49707930420696,0.0644728253228175,2.3588902827441,2.50163174927653,2.61160029320053,12363.8192659993,1.00063451595874
"loglike[1,187]",2.21552883097891,0.0567461143484629,2.09456501568698,2.21831588437999,2.31769929707933,14381.8593463331,0.999989797387306
"loglike[1,188]",2.49498206763139,0.0661896658885791,2.35297640583836,2.50032067603855,2.61205495286961,11757.7264176477,1.00053738750651
"loglike[1,189]",2.22861946690691,0.0500511040574311,2.12447500326586,2.23053919402924,2.32118512684668,21619.6393441515,1.00032972598062
"loglike[1,190]",2.45736727782804,0.0648369077887314,2.31782305579754,2.46194619138877,2.57271332224583,11650.7141898222,1.00042989722643
"loglike[1,191]",2.10399183440116,0.0569656501010219,1.98593298590371,2.10592912101821,2.20869800994408,17283.8836533943,0.999902413833019
"loglike[1,192]",2.50183743884441,0.0660815281237208,2.35992076179568,2.50705799619262,2.61925604923217,11897.8046389425,1.00057528787459
"loglike[1,193]",2.45127773010469,0.0596588719139705,2.32269229648099,2.45560250062708,2.55737573893826,13536.3176504034,1.00067034482158
"loglike[1,194]",2.42280236197247,0.0632647802722385,2.28596208764704,2.42747748502091,2.53561438056535,11747.3693295844,1.00035318838528
"loglike[1,195]",2.39994395280301,0.0622373390119629,2.26597910175059,2.40431947239305,2.51117424362536,11867.9152939001,1.00030582272087
"loglike[1,196]",2.14147603033514,0.0565566960021689,2.02262390141905,2.14384513310184,2.24536747412873,16199.8249602905,0.999919825033318
"loglike[1,197]",2.50299742288207,0.065760137614755,2.36169542523457,2.50783919345058,2.61948431172728,12020.1100520289,1.00059703351856
"loglike[1,198]",2.50253767690299,0.0655051853076302,2.36135376575023,2.50736794295405,2.61875426865802,12096.9470441707,1.00060777482682
"loglike[1,199]",2.49954239342313,0.0648599323565303,2.3601492494993,2.50420811814339,2.61473563633272,12267.936207726,1.00062640458374
"loglike[1,200]",2.49006132900551,0.0660933589511277,2.34817071376153,2.49525370507219,2.60686392704512,11713.7814926302,1.00051901178853
"loglike[1,201]",2.48512203932939,0.0659501906320095,2.34340039085181,2.49019967659739,2.60143631143315,11685.4917474881,1.00050296980558
"loglike[1,202]",2.33983107254185,0.0597977203393124,2.21056948455552,2.34392741876292,2.44742605285911,12382.1959335583,1.00018856671938
"loglike[1,203]",2.50257903450439,0.0655194078136547,2.36144217540538,2.50736990672802,2.61886072943171,12092.8762310883,1.0006072493646
"loglike[1,204]",2.40076416291898,0.0622735459600242,2.26659385130151,2.40513978368657,2.51205959966934,11862.875649242,1.00030749170538
"loglike[1,205]",2.49875950924504,0.066198997555406,2.35682219049988,2.50405516568502,2.61607726394985,11812.6278858373,1.00055478388604
"loglike[1,206]",2.41536867408404,0.0629270622162024,2.27956858349995,2.41992485635122,2.5277162937874,11781.9953051362,1.00033757572819
"loglike[1,207]",2.44224618006364,0.0641543312639647,2.30347415242045,2.44697313315717,2.5561188879749,11678.9369992141,1.00039529464105
"loglike[1,208]",2.27211720413526,0.050409655829462,2.16625290240806,2.27421128491418,2.36396515523012,19790.2099396699,1.0004322531245
